id,alpha_gain,alpha_loss,beta,llh
sub-2013,0.0027306462676590483,0.002246281213341411,20.0,32.36687551065146
sub-2007,0.24739415362125183,0.20070657950612308,0.30391080096952855,35.88413813569691
sub-2006,0.0,0.0,1e-10,41.588830833596695
sub-2012,0.05004324514055666,1.0,0.3805524678837031,32.66263226531049
sub-2004,1.0,0.08842572254716502,2.279855365624818,12.709589994979053
sub-2010,0.0,0.00045177597250083395,9.748828939817987,38.77342108312972
sub-2038,0.722364206950194,0.0,0.055173818044008276,41.38101106620432
sub-2039,1.0,0.0104699143371584,20.0,9.996874280829758
sub-2011,0.06780850186255709,0.5082528377265108,0.30494891359575177,35.29838649183502
sub-2005,0.0,0.0005920077380588897,20.0,38.29210964136358
sub-2001,0.20763265856836569,0.8835305339206956,0.5611990869518231,24.28363657276476
sub-2002,0.03189669735866511,0.36345625371083184,0.09526175895224505,41.04595804927451
sub-2003,0.2316611535939296,0.9660755730586326,0.2376561575087608,32.85559042112412
sub-1009,0.0003465550367246052,0.0016309545622373094,20.0,38.75559517436949
sub-1021,0.024689096761790676,0.036974291222040725,6.937137819853354,14.966752494622655
sub-1035,1.0,0.472417935104018,0.36506875434841113,28.552868238729452
sub-1034,0.006307270486513223,0.006322428812154955,20.0,19.909494372237855
sub-1020,0.024564514713263094,0.21584500098733167,3.3935242683906877,15.131379758887167
sub-1008,0.011255058128458718,1.0,3.5368513279064144,19.905461182661348
sub-1036,1.0,0.0797554145714743,0.7163427000494866,24.65879005578193
sub-1022,0.0012684763719726727,0.004979297356323667,20.0,32.37430287900308
sub-1023,0.8107599655056927,0.6868135744475955,0.4915624535709597,23.8934719692155
sub-1037,0.003564233297083331,0.003030735477963882,20.0,28.332712846476426
sub-1033,0.0025656397471952846,0.02086016154529003,20.0,21.923393568670797
sub-1026,0.0,0.001356179232498691,20.0,38.212079369349944
sub-1032,0.0014145049443555966,0.014137967112349452,20.0,31.615689711028395
sub-1024,1.0,1.0,20.0,2.772588722239781
sub-1030,0.001864890184699823,0.03949693819434334,20.0,20.596304273702035
sub-1018,4.759016533399744e-05,0.004721024720478725,20.0,33.24824205458284
sub-1019,0.005017243325049239,0.01883118507731738,20.0,15.008393146674674
sub-1025,0.0,0.002123761327283973,20.0,37.31285995288652
sub-1028,0.0032261581458508924,0.006896937365991113,20.0,24.106681886399357
sub-1014,0.08180321759277787,1.0,0.32305814550184875,34.87858247965137
sub-1015,0.8563701790349031,0.6253379708729238,0.4431473316625842,24.62671856256544
sub-1029,0.9977786177774087,0.003442330975587688,20.0,15.191928126519635
sub-1017,0.001952178385600924,0.01588934799382281,20.0,20.68305099374445
sub-1016,0.0,0.04291727636093544,20.0,27.098615006287716
sub-1012,0.017582171388201395,0.008477538513553085,20.0,13.21023649116303
sub-1006,0.00021375718157289162,0.006147744603413038,20.0,31.365678694234305
sub-1007,0.2643096954793927,0.9969987596673218,0.5328132329790838,22.481470617375617
sub-1013,0.0015732340008841623,0.008671508510210592,20.0,29.974375800812755
sub-1005,0.0022350666097633387,0.011461680401217967,20.0,22.594414393330513
sub-1039,1.0,0.01820755632558166,20.0,7.868637561820535
sub-1038,0.004439412716348377,1.0,20.0,13.728590909498
sub-1010,0.004449378252359886,0.0089195599784867,12.693155357423999,27.040572435947734
sub-1004,0.14255698316072063,0.14408196065700804,0.6590211403661548,28.572738884821856
sub-2026,1.0,0.0,0.6114051991695253,27.68502583015162
sub-2027,0.056973854246095176,0.047550865263654866,1.1199857708828227,31.225812999042724
sub-2033,1.0,1.0,0.051629805181229074,39.81662184302518
sub-2025,0.1571496593183521,0.42957408902122607,0.4512773707094187,30.07318844650833
sub-2031,0.0,0.0006078339717066201,20.0,39.57767393583031
sub-2019,0.0,0.020002123722444483,19.264808743778932,28.124076952607282
sub-2018,0.025552198952140864,0.0012606620582229183,20.0,21.825550631145383
sub-2030,0.5804146402232824,0.0,0.02270117858776867,38.78411384317456
sub-2024,0.1626957066453213,0.2196639592909168,1.142199948024197,19.275875557276887
sub-2020,0.0025099375553005727,0.028355731812671505,20.0,22.758867564238347
sub-2034,1.0,0.0,20.0,22.18070977791825
sub-2021,0.009810821201308557,0.06276087344398644,2.666904461821187,32.7612117927655
sub-2009,0.0,1.0,0.08134188451141118,40.68135182952405
sub-2037,0.0010630518311920073,0.005036437418863744,20.0,30.777883306847965
sub-2023,0.01758232917333357,0.020756693839587288,20.0,11.581743239181527
sub-2022,0.0,0.2970056383076636,0.04297865203612075,41.49658537896364
sub-2036,0.00022559481038672457,0.0,5.445013108786405,41.58332041076454
