"id","alpha_gain","alpha_loss","beta","X.LLH"
"sub-2013",0.00349830365003141,0.00214276761391989,20,46.1554788464595
"sub-2007",0.289954661006223,0.206801132285655,0.303044246682003,51.5665094251957
"sub-2006",0.000417503477607326,0,19.1100258972135,60.7824581174685
"sub-2012",0.0182425966662129,1,0.416436486659062,47.2612243151405
"sub-2004",0.0706991950893099,0.131740400122005,2.112863159155,32.9662076238505
"sub-2010",0,0.000589712462214853,8.12669744644255,59.5568952451673
"sub-2038",0.000339893961544965,0,20,62.0790747306117
"sub-2039",0.248295520032508,0.787394027598263,0.720128056181992,30.2313955481292
"sub-2011",1,0.730315220212533,0.251055239658825,50.8696021495263
"sub-2005",0.000258164732679403,0.000369578435702578,20,59.3219983442167
"sub-2001",0.0213659209282513,0.105238397485747,4.05371228655361,41.6052480037358
"sub-2002",1,0.35497011632436,0.0531836155677427,61.8410150845631
"sub-2003",0.000130907586363942,0.00321956594406914,20,53.4079889203519
"sub-1009",0.00110643764847897,0.0013407565150439,20,57.0404499247261
"sub-1021",0.0540860077084245,0.14070547453726,2.38008854079183,31.6811395656533
"sub-1035",1,0.531564333816744,0.374831863305573,41.9142848752245
"sub-1034",0.270095113130865,0.41199053166421,0.720182057870324,36.5408981835093
"sub-1020",0.0267009294252374,0.316370763758862,2.45043911420147,30.7024810252015
"sub-1008",0.0941788544036944,0.987707891364636,0.536531580248587,41.5931154700273
"sub-1036",1,0.10568737972487,0.670397998440991,33.0452978452779
"sub-1022",0.00103978056495352,0.00638821195054311,20,50.170409895805
"sub-1023",0.00218974182190363,0.0115609185447688,20,44.3839638633545
"sub-1037",0.00359071001221842,0.00383755241264304,20,46.6653933460593
"sub-1033",0.00318462517183359,0.0145185282190182,20,41.8655181208928
"sub-1026",7.50742389931506e-05,0.00133574483032425,20,59.0595958025346
"sub-1032",0.00139141589833377,0.0114398905950513,20,47.3524769971499
"sub-1024",0.0375129072015488,0.0897546966208539,20,7.63482691141445
"sub-1030",0.0473995294300674,0.904739824704028,1.09204802915882,31.0152661185471
"sub-1018",0.00032404874087714,0.003501933314674,20,54.1835448346053
"sub-1019",0.00473752645452736,0.0184151695950068,20,27.9603091806371
"sub-1025",0,0.00252382623089876,20,56.886720477702
"sub-1028",0.0655878119677233,0.19408422504074,0.993564950289185,41.2323859962689
"sub-1014",0.132389744304148,0.999999999999997,0.239677939656283,55.6456837442961
"sub-1015",0.946818178002979,0.938877763799111,0.474380125895866,33.4932140479959
"sub-1029",0.372691794467675,0.664138616353813,0.568669585253534,37.2422471602568
"sub-1017",0.00206490438832927,0.0203873493430491,20,27.1314194290752
"sub-1016",0,0.0441324467362529,20,46.5829513613251
"sub-1012",0.00866423451232599,0.00995689366886302,20,32.9045534026631
"sub-1006",0.000604986098295843,0.00547824911244307,20,52.2927387258674
"sub-1007",0.354027036164919,0.867884492489857,0.531621746499922,36.2639594602261
"sub-1013",0.281102182895332,0.549148932491223,0.461262427986724,46.438867974559
"sub-1005",0.00245353829216275,0.00896805665392138,20,40.1475109217658
"sub-1039",0.070651745446265,0.0784860910392612,4.14933175039836,27.3486709003434
"sub-1038",0.00426110269981148,0.0375691824680124,20,24.2719503569366
"sub-1010",0.20761748647383,0.409491746635678,0.532464933385471,45.405044096998
"sub-1004",0.342170020306641,0.37063111958583,0.497149338207152,42.3921242461408
"sub-2026",1,0,0.645694243860622,35.1357680724095
"sub-2027",0.126677904809603,0.13654529213346,0.546954413155512,47.8697819653994
"sub-2033",0.162976595703718,1,0.0444868549437244,60.7679736218354
"sub-2025",0.191840518717474,0.726412443895685,0.40580638425826,48.2603423202804
"sub-2031",0,0.000574133205875436,20,60.4307555878367
"sub-2019",0.000232516910735592,0.00884979240240343,20,51.2651370415516
"sub-2018",0.586318734670518,0.741624500167907,0.415628684594225,42.1605187081076
"sub-2030",0,0.524691547340599,0.0377117967358271,58.0775218117587
"sub-2024",0.0886945931215171,0.289245513667088,0.923169544587254,39.5766049623082
"sub-2020",0.00245328154499942,0.0499626266013389,20,28.3214651515096
"sub-2034",1,0,20,23.5670041390381
"sub-2021",1,0.811982561467547,0.193616279847802,54.3646226569845
"sub-2009",0,1,0.0715043980874744,61.4241649035515
"sub-2037",0.0014074145665683,0.00547679227454918,20,48.7270432497279
"sub-2023",0.00701848011214197,0.0166418880599662,20,31.6101718062174
"sub-2022",0,0.332207939489908,0.0347806436689186,60.9094320872658
"sub-2036",0.734792059222008,0,0.0979109410831804,61.1068873810274
